公司,市值,資產總額,負債總額,稅後淨利率,  保留盈餘,外資合計(比率),全體董事、監察人、經理人及持股10%以上股東(比率)
1101 台泥,294011232,441684559,216029886,16.46,73939852,22.9,8.6
1102 亞泥,157068840,317056069,136783183,16.27,114999751,15.82,28.9
1103 嘉泥,16076685,40247651,14337418,11.94,11237099,6.14,17.14
1104 環泥,14117954,25096822,5712346,21.23,11884891,12.1,31.97
1108 幸福,4816382,8041710,3396136,10.79,598884,1.88,20.46
1109 信大,7112706,11702345,1849173,19.89,4589070,4.57,38.67
1110 東泥,11583000,10958500,2247791,3.61,2176233,7.55,34.71
1201 味全,11259880,17959094,10907041,2.44,2232784,10.86,14.56
1203 味王,7812000,9582739,3331319,9.63,2664448,1.96,28.63
1210 大成,45505291,56732130,28992521,2.28,6952880,14.01,13
1213 大飲,476757,1122852,681137,-18.03,-146298,0.08,52.39
1215 卜蜂,21599994,23177472,14584465,3.94,4377398,42.16,10.06
1216 統一,389786229,514039630,333045885,4.54,67026848,45.95,10.12
1217 愛之味,5365466,13836774,6439405,-7.36,1010282,9.13,8.86
1218 泰山,13649973,10638276,3647149,5.9,1302687,2.24,30.25
1219 福壽,6536864,9150195,4676018,1.38,1191180,4.87,19.93
1220 台榮,2780109,3291690,698080,3.97,566749,7.41,22.1
1225 福懋油,11525648,9109168,5236724,3.39,1235500,0.89,15.12
1227 佳格,48408208,28289140,9811923,5,8953485,7.89,19.53
1229 聯華,87257211,71670249,15247193,14.78,13363288,11.82,24.83
1231 聯華食,13982107,9208709,4640541,10.51,2447594,1.73,37.8
1232 大統益,25355879,7003498,2045845,6.11,3240664,1.46,67.51
1233 天仁,3138978,2309476,849215,4.55,453983,5.32,14.18
1234 黑松,14346795,22788396,4644484,10.7,13872157,5.44,15.29
1235 興泰,4562149,4677445,1062651,-117.48,979697,0.19,49.91
1236 宏亞,3472361,3456496,1328005,-0.29,444327,0.16,29.96
1301 台塑,662036960,543678922,140488648,22.65,246258845,35.91,14.93
1303 南亞,677292113,668695386,239954616,17.27,273458343,30.8,29.3
1304 台聚,37505473,84825213,29180252,14,13599427,42.69,24.42
1305 華夏,20162435,16975315,5140046,12.32,5260198,24.12,24.97
1307 三芳,8294505,14740117,7089057,0.95,4179012,11.15,9.48
1308 亞聚,21760681,18978546,3516497,32.33,7610746,11.06,39.86
1309 台達化,13082496,10744659,3082846,8.48,3524977,12.31,41.19
1310 台苯,9184921,9299190,1928064,-8.21,1779957,10.26,4.55
1312 國喬,26019994,48909720,9679180,15.15,26282842,33.59,5.26
1313 聯成,29113711,53771844,23875107,-4,7837286,13.74,33.06
1314 中石化,49770778,135455208,54926789,2.4,42729935,12.72,2.46
1315 達新,8532424,12754724,1184442,1.44,7538998,1.75,27.69
1316 上曜,4953209,10599150,5201062,-31.31,-187352,1.53,25.69
1319 東陽,19577889,34453458,12185605,3.54,12045829,17.09,26.72
1321 大洋,7964341,12980183,6353586,-0.93,3603417,2.64,6.23
1323 永裕,3190026,5728613,3001749,8.58,1493179,3.18,12.28
1324 地球,878916,1245313,296273,2.58,221278,0.54,24.03
1325 恒大,3880286,3217382,168736,5.37,2083590,4.67,34.02
1326 台化,473583829,598345271,154364317,4.68,208492621,35.46,24.31
1339 昭輝,2565175,5051865,1501607,11.75,1629232,1.05,48.49
1342 八貫,4613460,2402395,846852,12.68,459724,0.2,32.03
1402 遠東新,156839238,635327585,365912667,3.45,153067440,17.51,27.72
1409 新纖,32691862,196031587,149713699,9.92,13862667,13.08,6.73
1410 南染,2305800,1422922,242323,18.63,477633,20.98,17.35
1413 宏洲,1426810,2833785,1686988,5.38,-172846,0.39,35.34
1414 東和,4279000,4601845,1388153,15.79,1114535,0.91,28.82
1416 廣豐,2112899,3875923,396364,-4.98,1421673,9.75,8.21
1417 嘉裕,2801630,3984631,1299474,-13.26,469091,2.59,23.61
1418 東華,662116,3555900,2348255,1529.47,-844123,0.59,46.84
1419 新紡,12826753,16135125,6124007,5.59,2563285,2.3,6.57
1423 利華,2761080,3423248,309946,31.88,770236,2.23,35.16
1432 大魯閣,1057500,4892868,4125199,-7.42,-240080,0.36,49.8
1434 福懋,49107956,81342188,19098329,4.23,19336630,9.93,38.57
1435 中福,4144477,1421818,169662,1750.93,-148832,0.26,32.83
1436 華友聯,5189562,13691109,10670421,-18.68,1722399,0.33,25.82
1437 勤益控,5257140,11947292,5154903,61.31,4163639,5.36,24.82
1438 三地開發,2157512,5243213,4132828,179.02,76010,0.25,29.11
1439 中和,2157400,2891266,624371,298.56,1319103,0.83,61.41
1440 南紡,42331623,50196558,22221227,6.93,11296934,6.43,22.75
1441 大東,953568,2374065,1553560,-22.16,-212993,1.5,27.38
1442 名軒,8422853,14090974,8244477,-1.98,1184911,2.76,4.44
1443 立益,2280530,6397558,5218392,56.24,-614008,0.17,18.03
1444 力麗,10817513,20704529,8760574,15.17,942655,7.71,19.54
1445 大宇,2031856,2010401,364003,-0.62,175837,1.65,29.59
1446 宏和,4737190,4339468,2806249,-6.49,88807,1.07,10.63
1447 力鵬,9419216,19756797,9153275,0,712701,8.05,22.06
1449 佳和,1751103,6356309,4890178,3.25,-364990,0.58,16.98
1451 年興,4167900,9050041,1624448,3.63,5183679,7.43,33.33
1452 宏益,3209912,3195884,370066,10.1,1218062,3.91,11.42
1453 大將,895465,1893590,494301,371.03,377194,0.22,48.32
1454 台富,1941003,2053953,438710,-0.55,308974,0.47,31.52
1455 集盛,8746268,10776815,3466505,2.51,1534694,3.52,21.89
1456 怡華,2052468,7125566,5382889,48.4,787100,0.38,79.82
1457 宜進,5897199,18519803,10625619,0.9,1300929,5.56,29.52
1459 聯發,4608370,6500355,3046765,9.13,398883,1.76,14.96
1460 宏遠,6689412,14607752,7790899,2.45,440454,3.97,29.29
1463 強盛,2460406,2741683,459464,36.32,322571,2.76,28.41
1464 得力,6037671,19131909,13732986,1.19,696207,1.38,9.42
1465 偉全,1305448,1825244,207444,-5.05,295985,0.56,16.74
1466 聚隆,1695144,3684929,1928701,4.1,200346,1.57,18.14
1467 南緯,3317461,8618265,5511496,1.66,281648,19.07,54.73
1468 昶和,2109326,3432779,2222958,-0.61,-565592,1.84,37.11
1470 大統新創,1522364,1254881,248931,7.69,144847,0.2,32.03
1471 首利,1340189,1188370,162066,52.17,-552318,1.65,12.75
1472 三洋實業,812110,1843953,1634354,-13.44,-30657,0.12,58.49
1473 台南,2663469,5213244,2159490,-1.73,971561,9.33,21.34
1474 弘裕,2013388,4262799,2174912,1.9,823507,2.81,14.42
1475 業旺,1316410,889252,187397,18.69,-315569,0.17,85.69
1476 儒鴻,173125577,29278767,8129336,13.23,15065660,40.12,25.65
1477 聚陽,59738432,22222828,8427386,8.75,5459349,27.48,11.3
1503 士電,28080391,45195290,18157577,5.04,17581729,31.98,28.05
1504 東元,67692893,136612450,40950519,7.1,30727392,24.98,24.71
1506 正道,2597835,2432163,1346577,19.72,-750756,0.47,5.02
1512 瑞利,1015781,1755972,1680566,-20.6,-2340595,7.47,22.04
1513 中興電,21545064,34264946,22619580,11.57,4933055,8.1,9.92
1514 亞力,5936476,8192043,4583475,4.51,1091922,7.17,15.19
1515 力山,10253225,12521433,8271030,4.79,2572950,11.73,14.39
1516 川飛,840358,513558,57616,8.71,84937,1.37,27.66
1517 利奇,6208231,5679622,1876428,10.02,1452761,4.97,10.45
1519 華城,9750516,9922390,6402653,5.48,902524,6.56,20.56
1521 大億,3068258,3394463,1659958,1.26,950192,33.47,59.83
1522 堤維西,6070202,24054607,15863662,3.03,2232867,6.21,41.31
1524 耿鼎,1876269,5403257,3155843,3.01,532558,0.62,26.39
1525 江申,4514100,5323884,884963,35.94,4100675,1.02,77.84
1526 日馳,2934000,2829038,1540398,12.04,658425,4.97,29.28
1527 鑽全,6055509,5131540,868645,10.16,2850347,8.34,15.73
1528 恩德,2382005,5101589,2810747,-0.72,216565,0.87,30.47
1529 樂士,3242813,2547046,900365,34.42,149593,0.27,28.36
1530 亞崴,3206921,6207280,3050793,3.45,1978858,0.63,57.39
1531 高林股,2928548,4883023,1235532,3.48,1837926,4.53,35.55
1532 勤美,12430832,49972033,33224380,13.96,7472339,13.44,19.55
1533 車王電,5774854,7716585,4831084,-1.44,1463381,5.77,33.03
1535 中宇,4943493,6863041,3633073,4.11,1420807,1.03,60.42
1536 和大,25519902,21103619,12359491,0.95,2054480,12.79,12.63
1537 廣隆,11366141,5254878,1468013,10.07,2459385,20.7,18.51
1538 正峰,278626,312246,278465,-122,-164738,0.07,29.92
1539 巨庭,1431603,3934638,2592279,1.73,686931,0.4,34.19
1540 喬福,1290642,1520339,229107,-9.23,256602,1.29,20.8
1541 錩泰,3455380,5195985,3427656,5.33,1013653,9.98,38.66
1558 伸興,8838110,7966074,2990046,-1.79,3239338,11,12.92
1560 中砂,17261618,10161515,5110901,15.4,2149289,13.14,15.28
1568 倉佑,2468910,3214552,1725715,5.81,363274,1.33,40.76
1582 信錦,8685425,11792293,5815021,0.82,2337701,17.55,12.61
1583 程泰,7021440,13088087,6514883,5.77,3339454,0.23,42.2
1587 吉茂,1794518,3026406,1740018,2.78,313383,24.22,31.72
1597 直得,7209406,3797199,1511244,13.44,1110588,3.07,14.74
1598 岱宇,7250590,12176627,7807188,1.02,1137394,9.8,10.55
1603 華電,5137238,8743442,2908581,7.81,5530079,1.41,25.12
1604 聲寶,11577280,13033851,4371938,3.82,5279272,12.32,5.93
1605 華新,90930298,183034898,75088630,10.97,47787207,23.2,13.49
1608 華榮,14047561,13666035,4661029,11.4,2354052,3.87,33.59
1609 大亞,16115080,34316540,22793189,9.25,2361145,10.06,7.32
1611 中電,7116307,5694130,1289987,52.16,1201868,10.32,8.52
1612 宏泰,8502552,8740782,923419,147.88,4461394,15.56,13.82
1614 三洋電,9714979,6901569,1379422,6.36,2618011,2.32,34.73
1615 大山,4451360,3547914,1083331,11.89,1147934,1.07,39.27
1616 億泰,2358898,3126997,1534448,2.86,-164798,0.68,18.18
1617 榮星,2581771,3615245,1677419,2.77,526095,21.38,49.78
1618 合機,2794020,4583435,342567,8.66,1785678,3.44,35.38
1701 中化,6751535,12786876,4998406,7.63,3617351,9.5,13.36
1702 南僑,14765426,29413868,17578210,6.64,4204640,15.87,17.63
1707 葡萄王,23701920,14060879,3631464,22.14,4729434,10.66,12.49
1708 東鹼,8478484,12126036,6092929,21.63,3925484,7.28,19.94
1709 和益,11019070,11587688,3690123,4.66,2454446,4.55,18.56
1710 東聯,19839747,33776171,17855569,-0.15,4320179,9.11,10.53
1711 永光,14926242,14136270,5029996,3.34,2248765,8.31,19.32
1712 興農,11878899,16012080,8505995,4.24,3086965,10.76,13.14
1713 國化,3766227,2582254,157089,22.13,864094,4.08,39.36
1714 和桐,11337588,24009123,7382016,2.41,2727890,21.63,10.52
1717 長興,50231300,60535689,35868832,4.65,12649186,15.7,18.06
1718 中纖,17115021,801138255,729362227,10.81,5137520,11.89,21.24
1720 生達,7701798,10104021,3304407,17.17,2460931,2.39,49.02
1721 三晃,5320209,4091352,1759763,4.65,441577,2.99,15.07
1722 台肥,68600000,79343199,26715339,14.73,38367298,10.17,24.08
1723 中碳,28546932,11732869,4114962,11.8,4037644,7.54,34.02
1725 元禎,6236735,7032885,2698043,2.72,1005038,0.32,48.76
1726 永記,11971800,11237793,2020352,7.14,7787843,14.58,45.43
1727 中華化,5499100,2592677,1114272,10.82,397886,1.13,28.86
1730 花仙子,4015296,2657969,851927,6.72,911089,11.45,22.96
1731 美吾華,2598488,2692439,686538,5.93,548153,3.42,32.12
1732 毛寶,1460039,669827,183981,2.05,68151,0.44,27.92
1733 五鼎,2598700,2670467,916911,14.53,682344,2.14,10.16
1734 杏輝,4847166,6220931,3143748,-6.72,210681,1.97,17.55
1735 日勝化,1843647,3716818,2284600,-0.02,364634,50.31,65.02
1736 喬山,17093581,35262576,25881392,5.12,7399573,9.05,67.58
1737 臺鹽,6640000,8467640,1954263,7.93,1861645,9.63,42.16
1752 南光,3888038,3428891,1188684,11.49,748023,1.34,38.29
1760 寶齡富錦,6447573,2953095,1020081,-1.08,209239,0.69,22.28
1762 中化生,5033644,4380761,1486487,17.98,1744399,2.92,25.04
1773 勝一,35100000,10939413,4155952,13.18,4756748,2.67,52.46
1776 展宇,1512203,1832526,663692,-2.57,431674,0.16,9.36
1783 和康生,3996248,1265184,123466,9.75,110295,7.5,32.79
1786 科妍,3283024,2261942,812061,18.09,150716,0.39,17.18
1789 神隆,19491716,11691176,1180122,7.47,1370098,3.7,64.45
1795 美時,25622610,21221950,10153240,8.98,1700635,70.99,61.61
1802 台玻,77790605,99455329,41680834,24.26,26559872,8.95,43.36
1805 寶徠,1473896,1459103,862777,-6.23,-411898,0.69,13.15
1806 冠軍,5465653,9521433,3023217,4.82,1626061,10.79,15.47
1808 潤隆,21727658,39325011,32650000,19.28,2575943,4.94,9.55
1809 中釉,2739472,4383865,1005476,2.16,1253650,5.15,14.95
1810 和成,6527905,11470876,4111581,7.04,2881696,4.43,8.7
1817 凱撒衛,2678940,2728848,926580,9.37,1028414,1.4,20.98
1903 士紙,16876531,12434471,3977354,-60.32,-160590,14.57,6.67
1904 正隆,39122072,66440325,38040120,6.71,16650197,16.39,12.41
1905 華紙,27350308,33968456,16334892,-3.44,3866246,5.31,57.84
1906 寶隆,3118150,9003364,2137989,2.7,2314006,1.6,35.01
1907 永豐餘,59026189,136434264,70628132,3.75,22919766,17.74,16.07
1909 榮成,31175514,78064860,50711477,2.86,9382345,11.84,36.75
2002 中鋼,556227301,687994969,301039949,14.5,165114212,20.36,20.1
2006 東和鋼鐵,48997292,55402752,25670167,9.24,14713541,24.12,21.05
2007 燁興,11249801,13148601,5695138,-1.43,3374,0.5,73.57
2008 高興昌,4006997,7326880,4357239,-3.24,674974,7.48,50.53
2009 第一銅,15859330,8287859,1843815,4.06,673028,1.71,39.44
2010 春源,15802782,23143623,11293575,3.55,5061285,2.16,21.12
2012 春雨,8920994,12691505,8023594,5.67,1318785,1.9,29.35
2013 中鋼構,11840000,13905391,8721880,4.35,1658818,9.55,43.04
2014 中鴻,59072636,37479334,14917936,6.53,7073840,9.16,40.59
2015 豐興,48563517,26872216,4772416,11.11,15515445,9.95,11.72
2017 官田鋼,6820247,11316192,5160621,12.35,698010,1.28,31.76
2020 美亞,7042948,8131835,4507546,5.18,1184423,3.36,16.72
2022 聚亨,6908414,8733983,2416299,-7.57,-1305074,3.21,6.97
2023 燁輝,47831396,95141053,62245428,4.62,8702806,5.61,30.19
2024 志聯,1964625,2007149,756159,8.3,265488,0.23,36.77
2025 千興,1692625,1953507,1254507,10.67,-2094552,0.05,12.21
2027 大成鋼,92891506,109071165,54645049,13.87,13835493,18.46,9.67
2028 威致,13924274,8586451,3910383,10.85,1165151,1.44,36.88
2029 盛餘,10631058,11762692,1787447,8.14,5156791,69.89,65.77
2030 彰源,8317596,14429160,9474309,9.62,1936088,3.69,30.73
2031 新光鋼,18690697,25921883,14314113,18.75,5358912,13.47,21.82
2032 新鋼,3106400,2237882,425704,-0.13,422640,1.22,24.53
2033 佳大,1432319,1312377,265487,1.7,138188,1.27,11.78
2034 允強,14361937,19078744,9676679,9.27,2442481,9.67,17.21
2038 海光,6380493,8982319,5071266,4.2,660460,1.22,32.81
2049 上銀,104452748,51031819,20564704,5.7,20680752,47.61,12.42
2059 川湖,49268549,15432868,2829581,34.33,10862927,18.16,18.23
2062 橋椿,5479836,14259948,7719952,5.15,3006998,10.94,36.98
2069 運錩,5781914,11145755,6890404,5.59,1488153,0.51,34.51
2101 南港,33440753,37323082,26073697,-30.16,2479537,6.14,22.98
2102 泰豐,13655542,11571629,6263604,-145.17,825740,5.4,33.24
2103 台橡,33358644,32829763,12705945,8.77,9154622,29.35,14.15
2104 國際中橡,27769471,57513321,22292503,26.4,10769738,13.95,15.64
2105 正新,117015082,149721997,68244629,3.8,56024682,16.19,29.58
2106 建大,28282651,46336074,27598286,-4.9,11614624,8.37,24.99
2107 厚生,7873498,13115402,1177576,28.71,7513391,11.34,17.16
2108 南帝,41953843,20751570,3998837,17.75,11681620,14.01,39.26
2109 華豐,4693063,8323929,3851536,7.95,362279,14.79,14.82
2114 鑫永銓,9514902,3690143,544408,33.6,2123991,2.24,30.32
2201 裕隆,41900000,323862779,253163256,10.51,36025088,7.59,45.79
2204 中華,35099508,54735114,8410086,16.07,31192108,29.23,52.85
2206 三陽工業,21576135,46531218,29711516,3.56,7182522,11.16,7.97
2207 和泰車,335353906,349612784,255146819,7.77,62252639,23.96,19.2
2208 台船,20452725,43721511,30457971,-0.04,226436,4.46,42.56
2211 長榮鋼,23098955,34486987,8204461,7.93,9134644,0.52,24.87
2227 裕日車,74700000,24653475,5652767,15.03,11482271,40.89,87.83
2228 劍麟,5357646,5423292,1627595,3.67,2607926,5.01,25.61
2231 為升,22981166,9566181,4905158,7.83,1687724,8.19,35.68
2233 宇隆,6239808,4926826,1788578,15.78,1708486,16.55,10.44
2241 艾姆勒,4659304,2979596,1350247,-17.92,-82187,21.94,15.37
2247 汎德永業,17473282,19719168,8006461,3.38,6626936,0.39,61.59
2301 光寶科,149985315,183543419,110669892,5.64,36753852,50.55,6.05
2302 麗正,2810504,2147840,349894,11.97,169832,4.4,39.95
2303 聯電,811411055,464426771,183223887,27.08,115375789,40.54,6.89
2305 全友,2097732,2855213,637321,6.97,-92085,6.23,39.93
2308 台達電,714324325,365112310,178987652,8.11,95863661,69.55,17.64
2312 金寶,23896638,107917826,82056226,-0.94,947825,13.56,6.54
2313 華通,52142125,71992900,39626472,10.27,19739392,12.94,9.35
2314 台揚,18173832,6552350,4589984,-15.4,-339909,5.65,28.1
2316 楠梓電,6761380,13805409,6124944,10.08,6131866,25.19,18.97
2317 鴻海,1441750960,3908878394,2335618276,2.71,1129264061,48.91,9.76
2321 東訊,294353,2042193,1563663,1.27,-647113,0.02,63.73
2323 中環,13269187,24154059,5711637,6.5,303525,11.14,12.15
2324 仁寶,106652933,537095340,415555537,0.95,69651940,48.15,5.94
2327 國巨,237792681,209547389,129941839,18.46,63761748,45.95,8.31
2328 廣宇,20422832,24322424,10228509,4.83,6796708,9.79,24.77
2329 華泰,14718922,17018489,8046424,13.05,1545928,8.71,30.99
2330 台積電,15947183700,3725503455,1554770250,37.97,1906829661,74.65,6.73
2331 精英,12541545,24131865,13620068,1.19,362814,5.56,39.72
2332 友訊,11396884,14503864,5501528,10.28,2822455,10.86,5.3
2337 旺宏,78323917,76708148,29982671,25.38,27095127,15.56,3.13
2338 光罩,27612684,16114227,11244048,10.26,2165355,2.81,24.58
2340 台亞,31186024,12345359,2647841,11.3,3434444,16.31,21.07
2342 茂矽,7753145,3911574,1574752,15.82,262027,4.87,31.42
2344 華邦電,135320000,152740284,62706772,18.17,22808020,22.41,30.22
2345 智邦,145579200,35021369,19468418,8.9,9655707,70.12,1.76
2347 聯強,110418025,201683706,135792629,2.58,40978246,35.48,19.73
2348 海悅,11551019,21588284,15344405,19.37,2841617,1.22,54.15
2349 錸德,8150728,19244734,8744257,-3.33,-1388555,12.61,3.27
2351 順德,31965570,13044590,6511396,7.54,4019570,15.65,13.25
2352 佳世達,59888481,187210595,121047832,2.48,20777515,23.31,17.78
2353 宏碁,92807124,214788311,148765368,2.74,16886389,42.91,3.82
2354 鴻準,91800077,174397614,63373414,2.85,83686824,21.39,6.04
