前面的資料是直接從TEJ資料庫抓的，然後成長率是用Excel 算的

公司,外資合計(比率)2020,外資合計(比率)2019,市值(百萬元)2019,市值(百萬元)2020,市值(百萬元)2021,2020成長率,2021成長率
1101 台泥,26.7,29.15,220538,244912,294001,11.05206359,20.04352584
1102 亞泥,24.66,24.59,143870,146727,159455,1.985820532,8.674613398
1103 嘉泥,4.45,2.82,14643,13326,16077,-8.994058595,20.64385412
1104 環泥,12.15,15.22,12288,13660,14118,11.16536458,3.352855051
1108 幸福,1.43,1.86,3177,4715,4816,48.41045011,2.142099682
1109 信大,3.21,1.38,6121,6737,7113,10.06371508,5.581119193
1110 東泥,7.75,7.78,9753,9695,11583,-0.594688814,19.47395565
1201 味全,9.94,9.48,12753,10374,11260,-18.65443425,8.540582225
1203 味王,1.91,2.24,6504,8628,7812,32.65682657,-9.457579972
1210 大成,16.31,19.97,31728,38430,45505,21.12329803,18.41009628
1213 大飲,0.08,0.09,356,509,477,42.97752809,-6.286836935
1215 卜蜂,40.55,43.13,17259,19429,21600,12.57315024,11.17401822
1216 統一,51.03,55.81,415924,369899,389786,-11.06572355,5.376332458
1217 愛之味,7.11,8.17,3457,3739,5365,8.157361874,43.48756352
1218 泰山,2.67,2.05,10625,11300,13650,6.352941176,20.79646018
1219 福壽,3.58,4,5796,6167,6537,6.400966184,5.999675693
1220 台榮,9.19,9.29,1771,2116,2780,19.48051948,31.37996219
1225 福懋油,0.83,0.83,8048,6922,11526,-13.99105368,66.51256862
1227 佳格,23.3,20.56,56827,58566,48408,3.060165062,-17.34453437
1229 聯華,13.44,15.1,37893,"54,143",87257,42.88390996,61.16026079
1231 聯華食,2.34,6.18,7176,"8,149",13982,13.55908584,71.57933489
1232 大統益,1.38,1.16,19757,"19,997",25356,1.214759326,26.79901985
1233 天仁,5.22,5.25,3492,"3,284",3139,-5.956471936,-4.415347138
1234 黑松,5.79,4.38,12780,"13,262",14347,3.771517997,8.181269793
1235 興泰,0.04,0.08,2586,"2,489",4562,-3.750966744,83.28646043
1236 宏亞,0.06,0.06,1376,"1,473",3472,7.049418605,135.7094365
1301 台塑,36.38,38.16,617477,"566,551",662037,-8.247432698,16.85391077
1303 南亞,29.78,30.53,571019,"517,883",677292,-9.305469695,30.78089066
1304 台聚,34.33,34.05,16108,"23,775",37505,47.5974671,57.74973712
1305 華夏,16.22,15.98,11805,"13,253",20162,12.26598899,52.13159285
1307 三芳,11.51,12.42,9488,"8,493",8295,-10.48693086,-2.331331685
1308 亞聚,6.38,6.68,8759,"11,817",21761,34.91266126,84.14995346
