公司,市值21,資產總額21,負債總額21,稅後淨利率21,  保留盈餘21,外資合計(比率)21,全體董事、監察人、經理人及持股10%以上股東(比率)21,市值20,資產總額20,負債總額20,稅後淨利率20,  保留盈餘20,外資合計(比率)20,全體董事、監察人、經理人及持股10%以上股東(比率)20,市值19,資產總額19,負債總額19,稅後淨利率19,  保留盈餘19,外資合計(比率)19,全體董事、監察人、經理人及持股10%以上股東(比率)19
1101 台泥,294011232,441684559,216029886,16.46,73939852,22.9,8.6,251002973,389506236,170676183,22.68,74199518,26.7,14.41,238847550,367482385,159020518,18.6,65626033,29.15,12.84
1102 亞泥,157068840,317056069,136783183,16.27,114999751,15.82,28.9,145214510,297086855,127199903,23.98,111583496,24.66,28.95,161181384,297278512,127829474,22.62,108564355,24.59,29.09
1103 嘉泥,16076685,40247651,14337418,11.94,11237099,6.14,17.14,14759559,40646227,15628878,215.7,11653749,4.45,17.12,17316333,38720634,15044409,-36.05,10660775,2.82,17.12
1104 環泥,14117954,25096822,5712346,21.23,11884891,12.1,31.97,15163729,24102936,5317583,24.62,11515783,12.15,31.94,12810736,23401933,5298887,30.14,11013644,15.22,31.96
1108 幸福,4816382,8041710,3396136,10.79,598884,1.88,20.46,5140173,8027307,3370388,5.57,605001,1.43,20.46,3391704,7328877,3007940,4.37,269466,1.86,26.76
1109 信大,7112706,11702345,1849173,19.89,4589070,4.57,38.67,6839140,11811053,2270037,24.9,4231187,3.21,44.33,6873336,11191294,2561172,20.67,3608235,1.38,38.87
1110 東泥,11583000,10958500,2247791,3.61,2176233,7.55,34.71,10238800,9865320,1316601,3.28,2093199,7.75,33.56,9981400,9740348,1169364,-1.3,2114087,7.78,34.7
1201 味全,11259880,17959094,10907041,2.44,2232784,10.86,14.56,11285183,18031521,11175733,4.5,2003464,9.94,14.56,12676853,19096943,12153148,1.22,2141842,9.48,14.55
1203 味王,7812000,9582739,3331319,9.63,2664448,1.96,28.63,8784000,9331602,3019220,8.92,2504319,1.91,28.63,6492000,9425026,3209452,11.6,2317751,2.24,28.44
1210 大成,45505291,56732130,28992521,2.28,6952880,14.01,13,42028821,51693036,23806284,4.53,7562982,16.31,12.72,36113347,47300737,22976218,3.74,6259370,19.97,12.72
1213 大飲,476757,1122852,681137,-18.03,-146298,0.08,52.39,437688,1255281,719135,-20.8,-51862,0.08,52.17,354454,1266002,702595,-9.2,-24610,0.09,52.16
1215 卜蜂,21599994,23177472,14584465,3.94,4377398,42.16,10.06,19402476,19546349,10812863,7.09,4212921,40.55,10.02,17740938,18650361,10023367,15.47,3641000,43.13,10
1216 統一,389786229,514039630,333045885,4.54,67026848,45.95,10.12,383536013,495338492,314739899,4.76,62057606,51.03,10.02,421605513,477455273,303449968,4.24,54692940,55.81,12.64
1217 愛之味,5365466,13836774,6439405,-7.36,1010282,9.13,8.86,4925349,13340859,6482385,-1.8,820259,7.11,8.73,3515987,12895986,6456720,-5.27,606288,8.17,9.57
1218 泰山,13649973,10638276,3647149,5.9,1302687,2.24,30.25,13799972,9240265,2208663,7.61,1332145,2.67,21.4,11049978,9229347,2624174,3.87,949056,2.05,13.25
1219 福壽,6536864,9150195,4676018,1.38,1191180,4.87,19.93,6987682,8550063,4106649,3.75,1191228,3.58,30.69,5973341,8937571,4978281,3.79,704042,4,31.83
1220 台榮,2780109,3291690,698080,3.97,566749,7.41,22.1,2231170,3101296,552702,8.39,574901,9.19,21.84,1868162,3149822,671333,5.29,505648,9.29,21.7
1225 福懋油,11525648,9109168,5236724,3.39,1235500,0.89,15.12,8190427,7693394,3960253,5.99,1088113,0.83,6.74,7588994,7741017,4092588,4.11,994144,0.83,8.08
1227 佳格,48408208,28289140,9811923,5,8953485,7.89,19.53,56094956,27823862,9808235,6.78,8782873,23.3,19.53,63690194,25488265,8537574,10.03,8016188,20.56,19.53
1229 聯華,87257211,71670249,15247193,14.78,13363288,11.82,24.83,54591815,55988518,11538424,32.99,12556851,13.44,25.2,40820106,46544943,8914752,20.39,12875954,15.1,25.38
1231 聯華食,13982107,9208709,4640541,10.51,2447594,1.73,37.8,8588776,8822575,4757002,10.72,2131762,2.34,37.44,7306801,7466043,3811954,9.5,1812996,6.18,38.9
1232 大統益,25355879,7003498,2045845,6.11,3240664,1.46,67.51,22796295,6348688,1707684,8.75,2937416,1.38,67.96,19356854,5807485,1676000,5.27,2443831,1.16,67.96
1233 天仁,3138978,2309476,849215,4.55,453983,5.32,14.18,3270335,2433516,929242,4.04,439104,5.22,14.18,3628170,2490105,873308,5.56,530080,5.25,13.99
1234 黑松,14346795,22788396,4644484,10.7,13872157,5.44,15.29,13241649,22211391,4142756,7.35,13810309,5.79,15.31,13080901,22642968,4760702,6.76,13621339,4.38,17.46
1235 興泰,4562149,4677445,1062651,-117.48,979697,0.19,49.91,2683003,4167382,1170054,-72.09,695434,0.04,55.75,2122585,4206027,1622724,-37.93,600536,0.08,46.5
1236 宏亞,3472361,3456496,1328005,-0.29,444327,0.16,29.96,1538456,2764972,1156991,3.16,410079,0.06,29.4,1484285,2736135,1051623,8.23,423131,0.06,33.1
1301 台塑,662036960,543678922,140488648,22.65,246258845,35.91,14.93,613657336,479280423,146744283,19.6,190229876,36.38,14.93,635300852,497087959,147934639,6.49,198347860,38.16,14.91
1303 南亞,677292113,668695386,239954616,17.27,273458343,30.8,29.3,570226030,584712347,228125869,15.82,212630726,29.78,29.3,577363769,554678679,199107979,5.96,204105146,30.53,29.32
1304 台聚,37505473,84825213,29180252,14,13599427,42.69,24.42,26866044,77324516,28600873,18.94,9497146,34.33,14.63,16464368,71425786,32248839,5.03,7756919,34.05,14.62
1305 華夏,20162435,16975315,5140046,12.32,5260198,24.12,24.97,14083546,13893625,3589867,24.37,4063848,16.22,24.97,10962203,12331233,3618667,7.31,2937187,15.98,24.97
1307 三芳,8294505,14740117,7089057,0.95,4179012,11.15,9.48,9010578,15340889,7467763,4.14,4266335,11.51,38.33,9408396,15136071,6871986,3.43,4356483,12.42,38.38
1308 亞聚,21760681,18978546,3516497,32.33,7610746,11.06,39.86,12515172,16883503,4773958,31.66,5253769,6.38,39.86,8759236,16923091,6693271,15.67,4785613,6.68,39.86
1309 台達化,13082496,10744659,3082846,8.48,3524977,12.31,41.19,13407797,9245870,2890064,16.37,2716694,4.34,45.93,3809926,8004741,3704978,1.96,997971,5.35,45.93
1310 台苯,9184921,9299190,1928064,-8.21,1779957,10.26,4.55,9950331,9012370,1548644,17.41,1773645,17.56,2.17,11032462,9304342,2075082,1.42,2282185,36.1,10.18
1312 國喬,26019994,48909720,9679180,15.15,26282842,33.59,5.26,21532225,36322368,5202031,40.11,18797890,24.69,5.25,16863132,31486407,4254330,6.74,14695878,38.2,5.25
1313 聯成,29113711,53771844,23875107,-4,7837286,13.74,33.06,25581062,44200637,19245936,7.56,6555946,11.23,33.1,14789052,45156997,24585281,-0.5,4401136,12.37,33.15
1314 中石化,49770778,135455208,54926789,2.4,42729935,12.72,2.46,38268503,104909990,34041959,13.77,39200786,15.94,2.46,27781530,96468490,29274626,11.76,39406739,22.61,2.61
1315 達新,8532424,12754724,1184442,1.44,7538998,1.75,27.69,10006920,13066420,862326,7.26,8350263,0.89,27.61,9375300,9925313,1532086,-9.81,4196822,1.68,36.98
1316 上曜,4953209,10599150,5201062,-31.31,-187352,1.53,25.69,2271527,7095303,4485695,11.25,-83170,1.08,15.39,2677817,7057814,4556636,-0.44,-114515,0.27,21.85
1319 東陽,19577889,34453458,12185605,3.54,12045829,17.09,26.72,23067603,35553199,13193807,3.72,11809717,19.02,26.72,27592402,37105350,14366513,8,12048352,18.25,26.71
1321 大洋,7964341,12980183,6353586,-0.93,3603417,2.64,6.23,8157485,12175162,5571045,9.96,3507899,2.34,6.23,9077759,11575506,6248040,-0.62,2805902,2.95,6.26
1323 永裕,3190026,5728613,3001749,8.58,1493179,3.18,12.28,3025733,5473347,2892010,9.81,1366916,3.02,10.73,3103316,5126573,2757468,9.82,1214318,3.1,19.36
1324 地球,878916,1245313,296273,2.58,221278,0.54,24.03,788771,1242489,270194,1.75,242587,0.42,24.19,724918,1223456,249988,1.78,248291,0.41,24.79
1325 恒大,3880286,3217382,168736,5.37,2083590,4.67,34.02,7717931,4635081,805199,52.14,2828586,0.61,35.47,1441249,1874451,110734,4.05,879191,0.57,37.57
1326 台化,473583829,598345271,154364317,4.68,208492621,35.46,24.31,496442454,531820428,136367899,14.52,184043516,35.72,24.31,512853775,550549017,141258054,6.4,186526961,39.54,24.31
1339 昭輝,2565175,5051865,1501607,11.75,1629232,1.05,48.49,3143451,5298401,1712740,5.47,1641106,1.38,48.49,4003452,5348549,1750660,3.39,1671560,0.45,45.5
