證券代碼,市值(百萬元),報酬率％,週轉率％,本益比-TSE,股價淨值比-TSE,現金股利率,全體董事、監察人、經理人及持股10%以上股東(比率),  現金及約當現金,負債總額,資產總額,常續性稅後淨利
1101 台泥,294001,-0.3115,0.0762,14.08,1.5,7.0153,8.6,59958809,180459948,401380637,14809240
1102 亞泥,159455,0.113,0.0738,10.16,1.04,7.592,28.9,33405511,133048748,307287866,13487683
1103 嘉泥,16077,-0.4796,0.0488,7.31,0.51,6.7275,17.14,3300210,14530745,41510848,506768
1104 環泥,14118,0.232,0.0409,12.78,0.75,5.0926,31.97,426666,5278939,24274344,746685
1108 幸福,4816,0,0.0838,20.52,1.06,2.9412,20.46,320942,3316442,7863645,169930
1109 信大,7113,1.9608,0.2693,7.35,0.95,7.2115,38.67,1867269,1617656,10976056,729944
1110 東泥,11583,-0.4914,0.0528,84.38,1.35,0.4938,34.71,150582,1910837,10538269,92728
1201 味全,11260,-0.4474,0.1049,18.86,1.63,2.382,14.56,1866580,12173895,19085518,421850
1203 味王,7812,-0.7622,0.0054,17.79,1.49,3.3794,28.63,1390587,3233605,9345664,558965
1210 大成,45505,0,0.1006,18.61,2.19,4.9089,13,5179124,26809268,53999356,1688365
1213 大飲,477,0.9592,0.0035,0,1.04,0,52.39,10792,714708,1173481,-75846
1215 卜蜂,21600,0,0.0746,14.58,2.76,5.5831,10.06,281957,14068880,22375230,1043632
1216 統一,389786,-1.1527,0.0532,19.43,3.46,3.9359,10.12,81071606,329441246,504770873,22715573
1217 愛之味,5365,0,0.6884,21.27,0.81,0,8.86,465283,6785346,14163106,276319
1218 泰山,13650,0,0.0908,22.2,1.95,5.1282,30.25,812630,3032530,9837839,435678
1219 福壽,6537,0,0.1596,16.5,1.5,4.9261,19.93,892304,4579743,8997649,225301
1220 台榮,2780,-0.6329,0.122,13.53,1.19,6.3694,22.1,447112,589570,3155424,160590
1225 福懋油,11526,0.5725,0.027,24.06,3.47,2.6565,15.12,1035044,4453810,8202060,362904
1227 佳格,48408,-1.306,0.1474,18.18,2.76,4.7259,19.53,2688422,9357177,27177164,2045961
1229 聯華,87257,-0.1613,0.172,17.59,2.23,1.2483,24.83,2546511,14317188,63754234,4260170
1231 聯華食,13982,-0.431,0.0585,17.59,3.25,2.0978,37.8,329003,4804919,9122177,533559
1232 大統益,25356,0.3165,0.0331,19.24,5.65,3.7855,67.51,972437,1775675,6352094,882879
1233 天仁,3139,0.1445,0.0099,75.33,2.24,2.3088,14.18,160879,801293,2203840,-4820
1234 黑松,14347,0,0.0294,20.28,0.8,5.042,15.29,976339,5013489,22892232,537346
1235 興泰,4562,0,0.0029,60.69,1.32,3.4325,49.91,74129,1039614,4387381,86985
1236 宏亞,3472,9.9485,1.2802,0,2.25,0.624,29.96,87600,1049927,2595348,-25178
1301 台塑,662037,-1.4218,0.0731,10.16,1.72,2.3077,14.93,11164837,142268961,526561844,54572674
1303 南亞,677292,-0.6977,0.0691,8.91,1.7,2.8103,29.3,67321587,239130748,650598683,66426449
1304 台聚,37505,-1.0972,0.3917,6.9,1.41,3.1696,24.42,9997770,30405506,83018142,7134255
1305 華夏,20162,-0.2874,0.3186,6.98,1.9,4.9403,24.97,851675,5989282,17247379,2063814
1307 三芳,8295,0,0.0184,43.44,1.08,2.3981,9.48,3143782,7176430,14828623,98778
1308 亞聚,21761,-1.4785,0.6508,8.05,1.44,3.21,39.86,533795,4312099,19415764,2049090
1309 台達化,13083,-0.1445,0.2467,5.97,1.79,5.2625,41.19,2722053,3210548,10533040,1404392
1310 台苯,9185,-0.2865,0.1555,11.68,1.23,2.8736,4.55,645592,1589549,9284256,332169
1312 國喬,26020,-0.5199,1.0173,3.78,0.79,0.3484,5.26,5608921,6568819,43784069,5230126
1313 聯成,29108,0,0.2573,6.59,0.97,4.5772,33.06,4163669,24921005,54099626,3035216
1314 中石化,49771,2.3346,1.8778,10.78,0.58,0,2.46,11271906,46558650,120780970,2114302
1315 達新,8532,-0.5774,0.1029,200.23,0.71,9.7464,27.69,1371764,1474073,13085266,-2712
1316 上曜,4829,0.2353,4.5688,0,2.03,0,25.69,1114384,5740685,10607984,-91331
1319 東陽,19578,0.1513,0.0632,28.29,0.91,2.4169,26.72,1045670,11970050,34020689,460612
1321 大洋,7964,0.2861,0.0819,16.3,1.17,2.8531,6.23,479905,6066487,12670990,166531
1323 永裕,3190,0.2869,0.0898,11.31,1.41,4.5779,12.28,1323253,2977521,5606454,255592
1324 地球,879,0,0.1185,0,0.94,2.5641,24.03,240133,281061,1219889,-6835
1325 恒大,3880,1.676,1.0565,4.72,1.32,26.3736,34.02,402511,208013,3239822,269920
1326 台化,473584,-0.2469,0.0422,10.6,1.22,3.0941,24.31,21927038,151342262,592596322,38353222
1339 昭輝,2565,-0.1443,0.0202,23.86,0.76,5.7803,48.49,607924,1577456,5068250,45599
1342 八貫,4613,-0.2933,0.7827,21.25,3.13,3.6765,32.03,387782,820672,2294080,184008
1402 遠東新,156839,0,0.0886,15.84,0.77,4.6075,27.72,35241829,369628492,636035571,10811054
1409 新纖,32692,0.4975,0.1802,8.9,0.95,5.4455,6.73,9515292,138522043,182935093,3839980
1410 南染,2306,-0.6784,0.0619,29.52,2.08,2.459,17.35,362931,257419,1417442,65411
1413 宏洲,1427,-0.4608,0.1665,37.24,1.29,0,35.34,68566,1668126,2770032,61254
1414 東和,4279,-0.7653,0.4214,35.36,1.36,1.2648,28.82,273069,1344603,4502145,110147
1416 廣豐,2113,1.3333,0.3232,0,0.62,4.386,8.21,247505,516687,3978229,-241648
1417 嘉裕,2802,0.3401,0.1985,13.17,1.04,2.0339,23.61,369005,1007628,3707849,154476
1418 東華,662,9.9057,0.146,0,3.49,0,46.84,384068,2247959,2429355,-227215
1419 新紡,12827,0.1171,0.0143,26.23,1.31,2.3392,6.57,666840,5052885,14822960,393501
1423 利華,2761,0,0.0354,4.55,0.92,9.0226,35.16,348111,318913,3326348,134240
1432 大魯閣,1058,0,0.16,0,1.37,0,49.8,347174,4069084,4690758,-130113
1434 福懋,49108,-0.3419,0.0792,23.51,0.77,3.4305,38.57,3241609,18606331,82675955,1790797
1435 中福,4144,-1.1667,0.0894,0,3.52,0,32.83,169392,175292,1352362,-38571
1436 華友聯,5191,-0.1848,0.0697,11.18,1.7,3.6846,25.82,477732,10083816,13119915,510614
1437 勤益控,5257,-0.3854,0.0388,11.49,0.79,2.7079,24.82,972248,4767690,11397566,260398
1438 三地開發,2158,-0.1647,0.0632,303,2.72,0,29.11,54213,2132956,2702159,8966
1439 中和,2157,-1.0549,0.0315,0,0.99,0,61.41,613382,517258,2689573,70781
1440 南紡,42332,-0.1953,0.4582,12.97,1.55,1.3699,22.75,4277549,22850570,50369756,2662377
1441 大東,954,-0.6303,0.0734,0,1.21,0,27.38,100677,1518931,2435811,-110408
1442 名軒,8423,0.4367,0.1516,15.44,1.44,2.1739,4.44,268039,7912874,13763855,506896
1443 立益,2281,0.597,0.0052,41.1,1.77,0,18.03,55983,5120225,6005011,69452
1444 力麗,10818,0.4444,0.1731,43.46,1.02,0,19.54,938848,6607295,18300992,170665
1445 大宇,2032,-0.3205,0.075,0,1.29,1.2862,29.59,189895,316687,1886079,-25854
1446 宏和,4737,0.1456,0.0777,0,3.08,0.8721,10.63,249103,2635045,4172081,-15699
1447 力鵬,9419,-0.4831,0.1073,27.84,0.88,0,22.06,878678,7476311,18424050,276499
1449 佳和,1734,3,0.3208,11.04,1.21,0,16.98,152593,4893908,6037761,-77362
1451 年興,4168,0,0.0242,24.48,0.56,2.8504,33.33,1604072,1830769,9236748,199117
1452 宏益,3210,-0.2062,0.2254,9.03,1.18,2.8926,11.42,444767,250919,2980831,159179
1453 大將,895,0.565,0.2296,0,0.7,0,48.32,17983,151821,1447223,-10962
1454 台富,1941,1.3559,0.4244,149.5,1.2,1.3378,31.52,150259,497196,2022479,6487
1455 集盛,8746,-0.6042,0.2611,7.76,1.21,1.8237,21.89,91804,3508462,10746257,617727
1456 怡華,2052,-0.905,0.0662,4.71,1.27,0,79.82,553282,5051117,6672711,333746
1457 宜進,5897,-1.5113,0.7048,25.06,0.96,7.6726,29.52,404541,10403696,18218284,174327
1459 聯發,4608,-0.3876,0.1023,5.87,1.21,0,14.96,504773,3345266,6726568,-13232
1460 宏遠,6689,0.104,0.3063,0,0.97,0,29.29,425948,7624000,14337411,105037
1463 強盛,2460,-0.6993,0.1022,40.57,1.09,2.1127,28.41,231338,488948,2723682,57531
1464 得力,6038,-0.9464,0.1027,92.35,1.31,1.9108,9.42,994719,13002674,18372089,199078
1465 偉全,1305,0,0.0724,0,0.8,2.3809,16.74,116103,195266,1826677,-29237
1466 聚隆,1695,-0.3268,0.1862,9.36,0.99,0,18.14,356336,1916984,3634158,150498
1467 南緯,3317,2.1583,0.6806,710,1.14,4.9296,54.73,1354207,5233745,8289425,-73430
1468 昶和,2109,0.3817,0.0312,219.17,1.79,0,37.11,325296,1829102,3038945,790
1470 大統新創,1522,-1.1142,0.1026,22.76,1.54,2.3662,32.03,80810,194153,1183720,44101
1471 首利,1340,0.1124,0.597,52.41,1.36,0,12.75,559600,301162,1288839,-93441
1472 三洋實業,812,1.8809,0.092,0,3.42,0,53.45,184622,1567815,1805553,7294
1473 台南,2663,0.5556,0.1101,0,0.85,1.105,21.34,926596,1869778,4970013,-109545
1474 弘裕,2013,-0.3215,0.4242,10.99,0.99,2.5806,14.42,691436,2123572,4179520,118694
1475 業旺,1316,0.198,0.0615,72.29,5.12,0,85.69,493191,96218,748852,34461
1476 儒鴻,173126,0.638,0.1392,31.82,8.72,1.7433,25.65,2343600,7376041,27230682,3844541
1477 聚陽,59739,-0.6036,0.2092,24.24,4.58,3.2389,11.3,2443296,6980747,20101557,1974308
